iter	Passed	Remaining
0	2	228
1	3	179
2	4	159
3	6	157
4	8	155
5	9	149
6	11	147
7	12	141
8	13	135
9	14	132
10	15	126
11	16	124
12	18	121
13	19	119
14	20	116
15	22	115
16	23	115
17	25	114
18	26	112
19	27	111
20	29	109
21	30	107
22	31	104
23	32	102
24	33	99
25	34	97
26	35	96
27	36	93
28	37	91
29	38	89
30	39	87
31	40	85
32	41	83
33	42	82
34	43	80
35	44	78
36	44	76
37	45	74
38	46	73
39	47	71
40	48	70
41	49	68
42	50	66
43	50	64
44	51	63
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	60	47
56	62	46
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	69	40
63	70	39
64	72	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	78	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	84	21
80	84	19
81	86	18
82	87	17
83	89	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	103	4
96	103	3
97	104	2
98	105	1
99	106	0
